Rank,County,Population,Per10K
1,Los Angeles,"10,081,570",1008.157
2,San Diego,"3,316,073",331.6073
3,Orange,"3,168,044",316.8044
4,Riverside,"2,411,439",241.1439
5,San Bernardino,"2,149,031",214.9031
6,Santa Clara,"1,927,470",192.747
7,Alameda,"1,656,754",165.6754
8,Sacramento,"1,524,553",152.4553
9,Contra Costa,"1,142,251",114.2251
10,Fresno,"984,521",98.4521
11,Kern,"887,641",88.7641
12,San Francisco,"874,961",87.4961
13,Ventura,"847,263",84.7263
14,San Mateo,"767,423",76.7423
15,San Joaquin,"742,603",74.2603
16,Stanislaus,"543,194",54.3194
17,Sonoma,"499,772",49.9772
18,Tulare,"461,898",46.1898
19,Santa Barbara,"444,829",44.4829
20,Solano,"441,829",44.1829
21,Monterey,"433,410",43.341
22,Placer,"385,512",38.5512
23,San Luis Obispo,"282,165",28.2165
24,Santa Cruz,"273,962",27.3962
25,Merced,"271,382",27.1382
26,Marin,"259,943",25.9943
27,Butte,"225,817",22.5817
28,Yolo,"217,352",21.7352
29,El Dorado,"188,563",18.8563
30,Imperial,"180,701",18.0701
31,Shasta,"179,212",17.9212
32,Madera,"155,433",15.5433
33,Kings,"150,691",15.0691
34,Napa,"139,623",13.9623
35,Humboldt,"135,940",13.594
36,Nevada,"99,244",9.9244
37,Sutter,"96,109",9.6109
38,Mendocino,"87,224",8.7224
39,Yuba,"76,360",7.636
40,Lake,"64,195",6.4195
41,Tehama,"63,912",6.3912
42,San Benito,"60,376",6.0376
43,Tuolumne,"54,045",5.4045
44,Calaveras,"45,514",4.5514
45,Siskiyou,"43,468",4.3468
46,Amador,"38,429",3.8429
47,Lassen,"30,818",3.0818
48,Glenn,"27,976",2.7976
49,Del Norte,"27,495",2.7495
50,Colusa,"21,454",2.1454
51,Plumas,"18,660",1.866
52,Inyo,"17,977",1.7977
53,Mariposa,"17,420",1.742
54,Mono,"14,310",1.431
55,Trinity,"12,700",1.27
56,Modoc,"8,907",0.8907
57,Sierra,"3,040",0.304
58,Alpine,"1,039",0.1039